R,W,AB
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Hettinger,1,39000000
Hettinger,1,39000000
Hettinger,1,39000000
Hettinger,1,39000000
Hettinger,1,39000000
Hettinger,1,39000000
Hettinger,1,39000000
Hettinger,1,39000000
Hettinger,1,39000000
Hettinger,1,39000000
Hettinger,1,39000000
Hettinger,1,39000000
Hettinger,2,72000000
Hettinger,2,72000000
Hettinger,2,72000000
Hettinger,2,72000000
Hettinger,2,72000000
Hettinger,2,72000000
Hettinger,2,72000000
Hettinger,2,72000000
Hettinger,2,72000000
Hettinger,2,72000000
Hettinger,2,72000000
Hettinger,2,72000000
Kidder,1,39000000
Kidder,1,39000000
Kidder,1,39000000
Kidder,1,39000000
Kidder,1,39000000
Kidder,1,39000000
Kidder,1,39000000
Kidder,1,39000000
Kidder,1,39000000
Kidder,1,39000000
Kidder,1,39000000
Kidder,1,39000000
Kidder,2,72000000
Kidder,2,72000000
Kidder,2,72000000
Kidder,2,72000000
Kidder,2,72000000
Kidder,2,72000000
Kidder,2,72000000
Kidder,2,72000000
Kidder,2,72000000
Kidder,2,72000000
Kidder,2,72000000
Kidder,2,72000000
LaMoure,1,39000000
LaMoure,1,39000000
LaMoure,1,39000000
LaMoure,1,39000000
LaMoure,1,39000000
LaMoure,1,39000000
LaMoure,1,39000000
LaMoure,1,39000000
LaMoure,1,39000000
LaMoure,1,39000000
LaMoure,1,39000000
LaMoure,1,39000000
LaMoure,2,72000000
LaMoure,2,72000000
LaMoure,2,72000000
LaMoure,2,72000000
LaMoure,2,72000000
LaMoure,2,72000000
LaMoure,2,72000000
LaMoure,2,72000000
LaMoure,2,72000000
LaMoure,2,72000000
LaMoure,2,72000000
LaMoure,2,72000000
Logan,1,39000000
Logan,1,39000000
Logan,1,39000000
Logan,1,39000000
Logan,1,39000000
Logan,1,39000000
Logan,1,39000000
Logan,1,39000000
Logan,1,39000000
Logan,1,39000000
Logan,1,39000000
Logan,1,39000000
Logan,2,72000000
Logan,2,72000000
Logan,2,72000000
Logan,2,72000000
Logan,2,72000000
Logan,2,72000000
Logan,2,72000000
Logan,2,72000000
Logan,2,72000000
Logan,2,72000000
Logan,2,72000000
Logan,2,72000000
McHenry,1,39000000
McHenry,1,39000000
McHenry,1,39000000
McHenry,1,39000000
McHenry,1,39000000
McHenry,1,39000000
McHenry,1,39000000
McHenry,1,39000000
McHenry,1,39000000
McHenry,1,39000000
McHenry,1,39000000
McHenry,1,39000000
McHenry,2,72000000
McHenry,2,72000000
McHenry,2,72000000
McHenry,2,72000000
McHenry,2,72000000
McHenry,2,72000000
McHenry,2,72000000
McHenry,2,72000000
McHenry,2,72000000
McHenry,2,72000000
McHenry,2,72000000
McHenry,2,72000000
McIntosh,1,39000000
McIntosh,1,39000000
McIntosh,1,39000000
McIntosh,1,39000000
McIntosh,1,39000000
McIntosh,1,39000000
McIntosh,1,39000000
McIntosh,1,39000000
McIntosh,1,39000000
McIntosh,1,39000000
McIntosh,1,39000000
McIntosh,1,39000000
McIntosh,2,72000000
McIntosh,2,72000000
McIntosh,2,72000000
McIntosh,2,72000000
McIntosh,2,72000000
McIntosh,2,72000000
McIntosh,2,72000000
McIntosh,2,72000000
McIntosh,2,72000000
McIntosh,2,72000000
McIntosh,2,72000000
McIntosh,2,72000000
McKenzie,1,39000000
McKenzie,1,39000000
McKenzie,1,39000000
McKenzie,1,39000000
McKenzie,1,39000000
McKenzie,1,39000000
McKenzie,1,39000000
McKenzie,1,39000000
McKenzie,1,39000000
McKenzie,1,39000000
McKenzie,1,39000000
McKenzie,1,39000000
McKenzie,2,72000000
McKenzie,2,72000000
McKenzie,2,72000000
McKenzie,2,72000000
McKenzie,2,72000000
McKenzie,2,72000000
McKenzie,2,72000000
McKenzie,2,72000000
McKenzie,2,72000000
McKenzie,2,72000000
McKenzie,2,72000000
McKenzie,2,72000000
McLean,1,39000000
McLean,1,39000000
McLean,1,39000000
McLean,1,39000000
McLean,1,39000000
McLean,1,39000000
McLean,1,39000000
McLean,1,39000000
McLean,1,39000000
McLean,1,39000000
McLean,1,39000000
McLean,1,39000000
McLean,2,72000000
McLean,2,72000000
McLean,2,72000000
McLean,2,72000000
McLean,2,72000000
McLean,2,72000000
McLean,2,72000000
McLean,2,72000000
McLean,2,72000000
McLean,2,72000000
McLean,2,72000000
McLean,2,72000000
Mercer,1,39000000
Mercer,1,39000000
Mercer,1,39000000
Mercer,1,39000000
Mercer,1,39000000
Mercer,1,39000000
Mercer,1,39000000
Mercer,1,39000000
Mercer,1,39000000
Mercer,1,39000000
Mercer,1,39000000
Mercer,1,39000000
Mercer,2,72000000
Mercer,2,72000000
Mercer,2,72000000
Mercer,2,72000000
Mercer,2,72000000
Mercer,2,72000000
Mercer,2,72000000
Mercer,2,72000000
Mercer,2,72000000
Mercer,2,72000000
Mercer,2,72000000
Mercer,2,72000000
Mortonne,1,39000000
Mortonne,1,39000000
Mortonne,1,39000000
Mortonne,1,39000000
Mortonne,1,39000000
Mortonne,1,39000000
Mortonne,1,39000000
Mortonne,1,39000000
Mortonne,1,39000000
Mortonne,1,39000000
Mortonne,1,39000000
Mortonne,1,39000000
Mortonne,2,72000000
Mortonne,2,72000000
Mortonne,2,72000000
Mortonne,2,72000000
Mortonne,2,72000000
Mortonne,2,72000000
Mortonne,2,72000000
Mortonne,2,72000000
Mortonne,2,72000000
Mortonne,2,72000000
Mortonne,2,72000000
Mortonne,2,72000000
Mountrail,1,39000000
Mountrail,1,39000000
Mountrail,1,39000000
Mountrail,1,39000000
Mountrail,1,39000000
Mountrail,1,39000000
Mountrail,1,39000000
Mountrail,1,39000000
Mountrail,1,39000000
Mountrail,1,39000000
Mountrail,1,39000000
Mountrail,1,39000000
Mountrail,2,72000000
Mountrail,2,72000000
Mountrail,2,72000000
Mountrail,2,72000000
Mountrail,2,72000000
Mountrail,2,72000000
Mountrail,2,72000000
Mountrail,2,72000000
Mountrail,2,72000000
Mountrail,2,72000000
Mountrail,2,72000000
Mountrail,2,72000000
Nelson,1,39000000
Nelson,1,39000000
Nelson,1,39000000
Nelson,1,39000000
Nelson,1,39000000
Nelson,1,39000000
Nelson,1,39000000
Nelson,1,39000000
Nelson,1,39000000
Nelson,1,39000000
Nelson,1,39000000
Nelson,1,39000000
Nelson,2,72000000
Nelson,2,72000000
Nelson,2,72000000
Nelson,2,72000000
Nelson,2,72000000
Nelson,2,72000000
Nelson,2,72000000
Nelson,2,72000000
Nelson,2,72000000
Nelson,2,72000000
Nelson,2,72000000
Nelson,2,72000000
Oliver,1,39000000
Oliver,1,39000000
Oliver,1,39000000
Oliver,1,39000000
Oliver,1,39000000
Oliver,1,39000000
Oliver,1,39000000
Oliver,1,39000000
Oliver,1,39000000
Oliver,1,39000000
Oliver,1,39000000
Oliver,1,39000000
Oliver,2,72000000
Oliver,2,72000000
Oliver,2,72000000
Oliver,2,72000000
Oliver,2,72000000
Oliver,2,72000000
Oliver,2,72000000
Oliver,2,72000000
Oliver,2,72000000
Oliver,2,72000000
Oliver,2,72000000
Oliver,2,72000000
Pembina,1,39000000
Pembina,1,39000000
Pembina,1,39000000
Pembina,1,39000000
Pembina,1,39000000
Pembina,1,39000000
Pembina,1,39000000
Pembina,1,39000000
Pembina,1,39000000
Pembina,1,39000000
Pembina,1,39000000
Pembina,1,39000000
Pembina,2,72000000
Pembina,2,72000000
Pembina,2,72000000
Pembina,2,72000000
Pembina,2,72000000
Pembina,2,72000000
Pembina,2,72000000
Pembina,2,72000000
Pembina,2,72000000
Pembina,2,72000000
Pembina,2,72000000
Pembina,2,72000000
Pierce,1,39000000
Pierce,1,39000000
Pierce,1,39000000
Pierce,1,39000000
Pierce,1,39000000
Pierce,1,39000000
Pierce,1,39000000
Pierce,1,39000000
Pierce,1,39000000
Pierce,1,39000000
Pierce,1,39000000
Pierce,1,39000000
Pierce,2,72000000
Pierce,2,72000000
Pierce,2,72000000
Pierce,2,72000000
Pierce,2,72000000
Pierce,2,72000000
Pierce,2,72000000
Pierce,2,72000000
Pierce,2,72000000
Pierce,2,72000000
Pierce,2,72000000
Pierce,2,72000000
Ramsey,1,39000000
Ramsey,1,39000000
Ramsey,1,39000000
Ramsey,1,39000000
Ramsey,1,39000000
Ramsey,1,39000000
Ramsey,1,39000000
Ramsey,1,39000000
Ramsey,1,39000000
Ramsey,1,39000000
Ramsey,1,39000000
Ramsey,1,39000000
Ramsey,2,72000000
Ramsey,2,72000000
Ramsey,2,72000000
Ramsey,2,72000000
Ramsey,2,72000000
Ramsey,2,72000000
Ramsey,2,72000000
Ramsey,2,72000000
Ramsey,2,72000000
Ramsey,2,72000000
Ramsey,2,72000000
Ramsey,2,72000000
Ransom,1,39000000
Ransom,1,39000000
Ransom,1,39000000
Ransom,1,39000000
Ransom,1,39000000
Ransom,1,39000000
Ransom,1,39000000
Ransom,1,39000000
Ransom,1,39000000
Ransom,1,39000000
Ransom,1,39000000
Ransom,1,39000000
Ransom,2,72000000
Ransom,2,72000000
Ransom,2,72000000
Ransom,2,72000000
Ransom,2,72000000
Ransom,2,72000000
Ransom,2,72000000
Ransom,2,72000000
Ransom,2,72000000
Ransom,2,72000000
Ransom,2,72000000
Ransom,2,72000000
Renville,1,39000000
Renville,1,39000000
Renville,1,39000000
Renville,1,39000000
Renville,1,39000000
Renville,1,39000000
Renville,1,39000000
Renville,1,39000000
Renville,1,39000000
Renville,1,39000000
Renville,1,39000000
Renville,1,39000000
Renville,2,72000000
Renville,2,72000000
Renville,2,72000000
Renville,2,72000000
Renville,2,72000000
Renville,2,72000000
Renville,2,72000000
Renville,2,72000000
Renville,2,72000000
Renville,2,72000000
Renville,2,72000000
Renville,2,72000000
Richland,1,39000000
Richland,1,39000000
Richland,1,39000000
Richland,1,39000000
Richland,1,39000000
Richland,1,39000000
Richland,1,39000000
Richland,1,39000000
Richland,1,39000000
Richland,1,39000000
Richland,1,39000000
Richland,1,39000000
Richland,2,72000000
Richland,2,72000000
Richland,2,72000000
Richland,2,72000000
Richland,2,72000000
Richland,2,72000000
Richland,2,72000000
Richland,2,72000000
Richland,2,72000000
Richland,2,72000000
Richland,2,72000000
Richland,2,72000000
Rolette,1,39000000
Rolette,1,39000000
Rolette,1,39000000
Rolette,1,39000000
Rolette,1,39000000
Rolette,1,39000000
Rolette,1,39000000
Rolette,1,39000000
Rolette,1,39000000
Rolette,1,39000000
Rolette,1,39000000
Rolette,1,39000000
Rolette,2,72000000
Rolette,2,72000000
Rolette,2,72000000
Rolette,2,72000000
Rolette,2,72000000
Rolette,2,72000000
Rolette,2,72000000
Rolette,2,72000000
Rolette,2,72000000
Rolette,2,72000000
Rolette,2,72000000
Rolette,2,72000000
Sargent,1,39000000
Sargent,1,39000000
Sargent,1,39000000
Sargent,1,39000000
Sargent,1,39000000
Sargent,1,39000000
Sargent,1,39000000
Sargent,1,39000000
Sargent,1,39000000
Sargent,1,39000000
Sargent,1,39000000
Sargent,1,39000000
Sargent,2,72000000
Sargent,2,72000000
Sargent,2,72000000
Sargent,2,72000000
Sargent,2,72000000
Sargent,2,72000000
Sargent,2,72000000
Sargent,2,72000000
Sargent,2,72000000
Sargent,2,72000000
Sargent,2,72000000
Sargent,2,72000000
Sheridan,1,39000000
Sheridan,1,39000000
Sheridan,1,39000000
Sheridan,1,39000000
Sheridan,1,39000000
Sheridan,1,39000000
Sheridan,1,39000000
Sheridan,1,39000000
Sheridan,1,39000000
Sheridan,1,39000000
Sheridan,1,39000000
Sheridan,1,39000000
Sheridan,2,72000000
Sheridan,2,72000000
Sheridan,2,72000000
Sheridan,2,72000000
Sheridan,2,72000000
Sheridan,2,72000000
Sheridan,2,72000000
Sheridan,2,72000000
Sheridan,2,72000000
Sheridan,2,72000000
Sheridan,2,72000000
Sheridan,2,72000000
Sioux,1,39000000
Sioux,1,39000000
Sioux,1,39000000
Sioux,1,39000000
Sioux,1,39000000
Sioux,1,39000000
Sioux,1,39000000
Sioux,1,39000000
Sioux,1,39000000
Sioux,1,39000000
Sioux,1,39000000
Sioux,1,39000000
Sioux,2,72000000
Sioux,2,72000000
Sioux,2,72000000
Sioux,2,72000000
Sioux,2,72000000
Sioux,2,72000000
Sioux,2,72000000
Sioux,2,72000000
Sioux,2,72000000
Sioux,2,72000000
Sioux,2,72000000
Sioux,2,72000000
Slope,1,39000000
Slope,1,39000000
Slope,1,39000000
Slope,1,39000000
Slope,1,39000000
Slope,1,39000000
Slope,1,39000000
Slope,1,39000000
Slope,1,39000000
Slope,1,39000000
Slope,1,39000000
Slope,1,39000000
Slope,2,72000000
Slope,2,72000000
Slope,2,72000000
Slope,2,72000000
Slope,2,72000000
Slope,2,72000000
Slope,2,72000000
Slope,2,72000000
Slope,2,72000000
Slope,2,72000000
Slope,2,72000000
Slope,2,72000000
Stark,1,39000000
Stark,1,39000000
Stark,1,39000000
Stark,1,39000000
Stark,1,39000000
Stark,1,39000000
Stark,1,39000000
Stark,1,39000000
Stark,1,39000000
Stark,1,39000000
Stark,1,39000000
Stark,1,39000000
Stark,2,72000000
Stark,2,72000000
Stark,2,72000000
Stark,2,72000000
Stark,2,72000000
Stark,2,72000000
Stark,2,72000000
Stark,2,72000000
Stark,2,72000000
Stark,2,72000000
Stark,2,72000000
Stark,2,72000000
Steele,1,39000000
Steele,1,39000000
Steele,1,39000000
Steele,1,39000000
Steele,1,39000000
Steele,1,39000000
Steele,1,39000000
Steele,1,39000000
Steele,1,39000000
Steele,1,39000000
Steele,1,39000000
Steele,1,39000000
Steele,2,72000000
Steele,2,72000000
Steele,2,72000000
Steele,2,72000000
Steele,2,72000000
Steele,2,72000000
Steele,2,72000000
Steele,2,72000000
Steele,2,72000000
Steele,2,72000000
Steele,2,72000000
Steele,2,72000000
Stutsman,1,39000000
Stutsman,1,39000000
Stutsman,1,39000000
Stutsman,1,39000000
Stutsman,1,39000000
Stutsman,1,39000000
Stutsman,1,39000000
Stutsman,1,39000000
Stutsman,1,39000000
Stutsman,1,39000000
Stutsman,1,39000000
Stutsman,1,39000000
Stutsman,2,72000000
Stutsman,2,72000000
Stutsman,2,72000000
Stutsman,2,72000000
Stutsman,2,72000000
Stutsman,2,72000000
Stutsman,2,72000000
Stutsman,2,72000000
Stutsman,2,72000000
Stutsman,2,72000000
Stutsman,2,72000000
Stutsman,2,72000000
Towner,1,39000000
Towner,1,39000000
Towner,1,39000000
Towner,1,39000000
Towner,1,39000000
Towner,1,39000000
Towner,1,39000000
Towner,1,39000000
Towner,1,39000000
Towner,1,39000000
Towner,1,39000000
Towner,1,39000000
Towner,2,72000000
Towner,2,72000000
Towner,2,72000000
Towner,2,72000000
Towner,2,72000000
Towner,2,72000000
Towner,2,72000000
Towner,2,72000000
Towner,2,72000000
Towner,2,72000000
Towner,2,72000000
Towner,2,72000000
Traill,1,39000000
Traill,1,39000000
Traill,1,39000000
Traill,1,39000000
Traill,1,39000000
Traill,1,39000000
Traill,1,39000000
Traill,1,39000000
Traill,1,39000000
Traill,1,39000000
Traill,1,39000000
Traill,1,39000000
Traill,2,72000000
Traill,2,72000000
Traill,2,72000000
Traill,2,72000000
Traill,2,72000000
Traill,2,72000000
Traill,2,72000000
Traill,2,72000000
Traill,2,72000000
Traill,2,72000000
Traill,2,72000000
Traill,2,72000000
Walsh,1,39000000
Walsh,1,39000000
Walsh,1,39000000
Walsh,1,39000000
Walsh,1,39000000
Walsh,1,39000000
Walsh,1,39000000
Walsh,1,39000000
Walsh,1,39000000
Walsh,1,39000000
Walsh,1,39000000
Walsh,1,39000000
Walsh,2,72000000
Walsh,2,72000000
Walsh,2,72000000
Walsh,2,72000000
Walsh,2,72000000
Walsh,2,72000000
Walsh,2,72000000
Walsh,2,72000000
Walsh,2,72000000
Walsh,2,72000000
Walsh,2,72000000
Walsh,2,72000000
Ward,1,39000000
Ward,1,39000000
Ward,1,39000000
Ward,1,39000000
Ward,1,39000000
Ward,1,39000000
Ward,1,39000000
Ward,1,39000000
Ward,1,39000000
Ward,1,39000000
Ward,1,39000000
Ward,1,39000000
Ward,2,72000000
Ward,2,72000000
Ward,2,72000000
Ward,2,72000000
Ward,2,72000000
Ward,2,72000000
Ward,2,72000000
Ward,2,72000000
Ward,2,72000000
Ward,2,72000000
Ward,2,72000000
Ward,2,72000000
Wells,1,39000000
Wells,1,39000000
Wells,1,39000000
Wells,1,39000000
Wells,1,39000000
Wells,1,39000000
Wells,1,39000000
Wells,1,39000000
Wells,1,39000000
Wells,1,39000000
Wells,1,39000000
Wells,1,39000000
Wells,2,72000000
Wells,2,72000000
Wells,2,72000000
Wells,2,72000000
Wells,2,72000000
Wells,2,72000000
Wells,2,72000000
Wells,2,72000000
Wells,2,72000000
Wells,2,72000000
Wells,2,72000000
Wells,2,72000000
Williams,1,39000000
Williams,1,39000000
Williams,1,39000000
Williams,1,39000000
Williams,1,39000000
Williams,1,39000000
Williams,1,39000000
Williams,1,39000000
Williams,1,39000000
Williams,1,39000000
Williams,1,39000000
Williams,1,39000000
Williams,2,72000000
Williams,2,72000000
Williams,2,72000000
Williams,2,72000000
Williams,2,72000000
Williams,2,72000000
Williams,2,72000000
Williams,2,72000000
Williams,2,72000000
Williams,2,72000000
Williams,2,72000000
Williams,2,72000000
